"Name","Location","Type","Description"
"Bapu Museum","Vijayawada","Andhra Pradesh","1887"
"Chandavaram Buddhist site","Chandavaram, Prakasam district","Andhra Pradesh","1980"
"Bhagwan Mahavir Government Museum","Kadapa","Andhra Pradesh","1982"
"Telugu Samskruthika Niketanam","Visakhapatnam","Andhra Pradesh","2015"
"Victory at Sea War memorial","Visakhapatnam","Andhra Pradesh","1971"
"Kursura Submarine Museum","Visakhapatnam","Andhra Pradesh","2002"
"TU 142 Aircraft Museum","Visakhapatnam","Andhra Pradesh","2017"
"Visakha Museum","Visakhapatnam","Andhra Pradesh","1991"
"Bhau Daji Lad Museum","Mumbai","Maharashtra","1872"
"National Gallery of Modern Art","Mumbai","Maharashtra","1996"
"Mani Bhavan","Mumbai","Maharashtra",""
"Chhatrapati Shivaji Maharaj Vastu Sangrahalaya","Mumbai","Maharashtra","1922"
"Nehru Science Centre","Mumbai","Maharashtra",""
"Cowasji Jehangir Hall","Mumbai","Maharashtra","1996"
"INS Vikrant","Mumbai","Maharashtra","1943"
"Nagpur Central Museum","Nagpur","Maharashtra","1863"
"Ballard Bunder Gatehouse","Mumbai","Maharashtra","1920"
"Piramal Museum of Art","Mumbai","Maharashtra","2016"
"Joshi's Museum of Miniature Railway","Pune","Maharashtra",""
"Mahatma Phule Museum","Pune","Maharashtra",""
"Raja Dinkar Kelkar Museum","Pune","Maharashtra",""
"Antarang – Sex Health Information Art Gallery","Mumbai","Maharashtra",""
"Cavalry Tank Museum","Ahmednagar","Maharashtra",""
"Indian Institute for Research in Numismatic Studies","Nashik","Maharashtra",""
"Siddhagiri Gramjivan Museum (Kaneri Math)","Kolhapur","Maharashtra",""
"Chhatrapati Shivaji Maharaj Museum of Indian History","Pune","Maharashtra",""
"Raman Science Centre","Nagpur","Maharashtra",""
"Shree Chhatrapati Shahu Museum","Kolhapur","Maharashtra",""
"Sarmaya Arts Foundation","Mumbai","Maharashtra","2015"
"Pragati Aerospace Museum","Ozar","Maharashtra","2001"
"Archaeological Museum","Vijayapura","Karnataka","1892"
"Government Museum","Bangalore","Karnataka","1864"
"National Gallery of Modern Art","Bangalore","Karnataka","2009"
"Visvesvaraya Industrial and Technological Museum","Bangalore","Karnataka","1962"
"Karnataka Chitrakala Parishath","Bangalore","Karnataka","1960"
"HAL Aerospace Museum","Bangalore","Karnataka",""
